Name,Session,Date of Introduction,Party of Sponsors,Classification
H.Res. 90,115,02/03/2017,Democratic,control
H.Res. 361,115,05/25/2017,Democratic,control
H.Res. 373,115,06/02/2017,Democratic,control
S.Res. 179,115,05/25/2017,Democratic,control
H.Res. 920,115,06/05/2018,Democratic,control
H.Res. 913,115,05/24/2018,Democratic,control
H.R. 1278,115,03/01/2017,Democratic,control
S.Res. 524,115,05/24/2018,Democratic,control
H.R. 1612,115,03/17/2017,Democratic,control
H.Res. 367,115,05/25/2017,Democratic,control
H.R. 4573,115,12/06/2017,Democratic,control
H.R. 3613,115,07/28/2017,Democratic,control
H.R. 5657,115,04/27/2018,Democratic,control
H.R. 3987,115,10/05/2017,Democratic,control
H.R. 2598,115,05/23/2017,Democratic,control
H.R. 1475,115,03/09/2017,Democratic,control
H.R. 1478,115,03/09/2017,Democratic,control
S. 1212,115,05/24/2017,Democratic,control
H.R. 2784,115,06/06/2017,Democratic,control
H.R. 62,115,01/03/2017,Democratic,control
S. 2161,115,11/27/2017,Democratic,control
H.R. 5941,115,05/23/2018,Democratic,control
H.R. 1982,115,04/06/2017,Democratic,control
H.R. 6654,115,08/03/2018,Democratic,control
H.R. 6075,115,06/12/2018,Democratic,control
S. 3211,115,07/12/2018,Democratic,control
H.R. 6278,115,06/28/2018,Democratic,control
H.R. 6649,115,08/03/2018,Democratic,control
S. 3304,115,07/31/2018,Democratic,control
H.R. 4268,115,11/07/2017,Democratic,control
H.Con.Res. 66,115,06/26/2017,Democratic,control
H.R. 3984,115,10/05/2017,Democratic,control
H.Con.Res. 125,115,06/21/2018,Democratic,control
H.R. 1832,115,03/30/2017,Democratic,control
H.R. 5161,115,03/05/2018,Democratic,control
S. 834,115,04/05/2017,Democratic,control
H.Con.Res. 127,115,06/28/2018,Democratic,control
S. 1939,115,10/05/2017,Democratic,control
H.R. 163,115,01/03/2017,Democratic,control
H.R. 5103,115,02/27/2018,Democratic,control
H.R. 5106,115,02/27/2018,Democratic,control
S. 2974,115,05/24/2018,Democratic,control
H.R. 7219,115,12/06/2018,Democratic,control
H.R. 7274,115,12/12/2018,Democratic,control
H.R. 4192,115,10/31/2017,Democratic,control
S. 2045,115,10/31/2017,Democratic,control
H.Res. 666,115,12/15/2017,Democratic,control
H.Res. 370,115,05/26/2017,Democratic,control
H.R. 4343,115,11/09/2017,Democratic,control
H.R. 1079,115,02/15/2017,Democratic,control
H.R. 5163,115,03/05/2018,Democratic,control
H.R. 6629,115,07/26/2018,Democratic,control
H.Res. 1076,115,09/25/2018,Democratic,control
H.R. 445,115,01/11/2017,Democratic,control
H.R. 6109,115,06/14/2018,Democratic,control
H.R. 5088,115,02/26/2018,Democratic,control
S. 3300,115,07/31/2018,Democratic,control
H.R. 6643,115,07/31/2018,Democratic,control
H.R. 3207,115,07/12/2017,Democratic,control
S. 1539,115,07/12/2017,Democratic,control
H.R. 4142,115,10/26/2017,Democratic,control
H.R. 4240,115,11/03/2017,Democratic,control
H.R. 3986,115,10/05/2017,Democratic,control
H.R. 57,115,01/03/2017,Democratic,control
H.R. 1498,115,03/10/2017,Democratic,control
S. 1923,115,10/05/2017,Democratic,control
H.R. 3464,115,07/27/2017,Democratic,control
S. 411,115,02/16/2017,Democratic,control
S. 72,115,01/09/2017,Democratic,control
H.R. 5398,115,03/22/2018,Democratic,control
H.R. 5271,115,03/14/2018,Democratic,control
S. 2150,115,11/16/2017,Democratic,control
S. 2546,115,03/14/2018,Democratic,control
S. 2009,115,10/25/2017,Democratic,control
H.Res. 1171,115,12/06/2018,Democratic,control
H.Res. 615,115,11/13/2017,Democratic,control
S. 1992,115,10/19/2017,Democratic,control
H.R. 5383,115,03/22/2018,Democratic,control
S. 1916,115,10/04/2017,Democratic,control
H.R. 5090,115,02/26/2018,Democratic,control
H.R. 3947,115,10/04/2017,Democratic,control
H.R. 5490,115,04/12/2018,Democratic,control
H.R. 3361,115,07/24/2017,Democratic,control
H.R. 1692,115,03/22/2017,Democratic,control
H.R. 7035,115,10/05/2018,Democratic,control
H.R. 6630,115,07/26/2018,Democratic,control
S.Res. 730,115,12/13/2018,Democratic,control
H.R. 4153,115,10/26/2017,Democratic,control
S. 2662,115,04/12/2018,Democratic,control
H.R. 1111,115,02/16/2017,Democratic,control
H.R. 7103,115,10/30/2018,Democratic,control
H.R. 124,115,01/03/2017,Democratic,control
S. 2627,115,03/22/2018,Democratic,control
H.R. 6024,115,06/06/2018,Democratic,control
S. 3002,115,06/06/2018,Democratic,control
S. 318,115,02/06/2017,Democratic,control
H.R. 7115,115,11/02/2018,Democratic,control
S. 1915,115,10/04/2017,Democratic,control
H.R. 2380,115,05/04/2017,Democratic,control
H.R. 2757,115,05/26/2017,Democratic,control
S. 748,115,03/28/2017,Democratic,control
H.R. 3790,115,09/14/2017,Republican,control
H.R. 4168,115,10/31/2017,Republican,control
S. 2607,115,03/22/2018,Republican,control
S. 2502,115,03/06/2018,Republican,control
H.R. 5134,115,03/01/2018,Republican,control
H.R. 5380,115,03/22/2018,Republican,control
H.R. 5112,115,02/27/2018,Republican,control
S. 2703,115,04/18/2018,Republican,control
H.R. 6747,115,09/07/2018,Republican,control
H.R. 3999,115,10/10/2017,Republican,control
H.R. 6798,115,09/13/2018,Republican,control
S.J.Res. 67,115,11/29/2018,Republican,control
H.R. 6691,115,08/31/2018,Republican,control
H.Res. 1090,115,09/27/2018,Republican,control
